SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Candidatus Cloacimonetes	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Coprothermobacterota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermotogae	Verrucomicrobia
SAMPLE-43	0.0	3.8350208453839425	0.0	0.5403966033743046	3.494849086911215	0.0	0.5403966033743046	0.0	0.34932963937215444	0.34932963937215444	0.0	0.0	0.0	0.34932963937215444	0.0	0.0	0.0	4.35824719095935	0.0	0.0	2.587041251509362	0.0	0.0	0.0	2.5508664473570613	0.0	0.0	0.8559030665284043	0.0	0.0	2.902537678156182
SAMPLE-44	0.0	3.0185381714977533	0.0	0.24440439313493248	1.3303912151016712	0.0	1.0028643749569144	0.0	0.0	1.1643308125784704	0.24440439313493248	0.7429674459816535	0.0	0.24440439313493248	0.0	0.0	0.0	4.502693193129511	1.1862434106397497	0.0	0.0	0.0	0.0	0.24440439313493248	3.145255651467477	0.0	0.6044482804735232	0.5140884011399979	0.0	0.0	0.6044482804735232
SAMPLE-45	0.31390402760411756	4.35536362771515	0.0	0.0	3.085675968010537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.014156707372377	0.0	0.0	0.49420319778398514	0.0	0.0	0.0	2.0504506475571938	0.0	0.31390402760411756	0.31390402760411756	0.0	0.0	0.49420319778398514
SAMPLE-46	0.0	4.380417082400424	0.0	0.0	1.3287278196817947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.011942205610346	0.0	0.0	0.0	0.0	0.0	0.0	1.2710752383007033	0.2749313886672468	0.0	0.0	0.0	0.0	0.6564246256742128
SAMPLE-47	0.0	3.606870104106518	0.0	1.7391482458142484	3.197863704556172	0.0	0.0	0.0	0.21311574521671234	0.21311574521671234	0.0	0.3554466295693336	0.3554466295693336	0.0	0.0	0.3554466295693336	0.0	4.42629405670525	0.6813247780880114	0.0	2.819012743729283	0.0	0.0	0.0	3.112766289609998	0.6813247780880114	0.0	0.6198689576808443	0.0	0.0	0.4624671361867066
SAMPLE-48	0.0	3.653718654895038	0.0	0.6378188319741703	2.616013663638312	0.0	0.0	0.0	0.0	0.0	0.2638306906401611	0.2638306906401611	0.0	0.0	0.0	0.0	0.0	4.314145815567762	0.930562045938866	0.0	2.7097136782242663	0.0	0.0	0.0	3.9171872253775	0.0	0.0	0.0	0.0	0.0	1.2053344480900772
SAMPLE-49	0.0	4.032646917792174	0.0	0.0	2.065727970786563	0.0	0.0	0.0	0.0	0.6353961048065594	0.42481047003429573	0.2623993687168983	0.0	0.0	0.0	0.7766062132516532	0.0	4.315794410678468	0.0	0.0	2.89632412801912	0.0	0.0	0.2623993687168983	2.616372248811517	0.42481047003429573	0.0	0.8829942437911712	0.0	0.0	3.1838302871157462
SAMPLE-5	0.2975095336555204	3.850625552061954	0.0	0.0	3.341043571276634	0.0	0.0	0.2975095336555204	0.0	0.2975095336555204	0.0	0.2975095336555204	0.0	0.0	0.0	0.0	0.0	4.3871019931650155	0.0	0.0	1.22379829197488	0.0	0.0	0.0	2.2852227400514717	0.0	0.0	2.485713611754559	0.0	0.0	2.1804973063299102
SAMPLE-50	0.0	3.756655084053663	0.0	0.29557224460076076	3.215750394087926	0.17246038975548983	0.29557224460076076	0.0	0.0	0.0	0.0	0.17246038975548983	0.0	0.0	0.0	0.0	0.17246038975548983	4.338098703593609	1.2906009299499728	0.0	2.6583557391532233	0.0	0.0	0.0	3.6735934242012913	0.17246038975548983	0.0	0.17246038975548983	0.0	0.0	0.8036365785902742
SAMPLE-51	0.0	3.170089726077509	0.0	0.0	3.9166620602802893	0.0	0.77256796518408	0.0	0.0	1.0882562281332204	0.23130053570362616	0.4927618518472954	0.0	0.0	0.0	0.0	0.0	4.301084119118441	2.7596095692540956	0.0	0.23130053570362616	0.0	0.0	0.23130053570362616	3.601314517231734	0.23130053570362616	0.7176722460559618	0.4927618518472954	0.0	0.0	0.7176722460559618
